Index,Time,ax,ay,(((drivers.opticalFlow).processedMessage).payload).distance,(((drivers.opticalFlow).processedMessage).payload).optical_flow_vel_x,(((drivers.opticalFlow).processedMessage).payload).optical_flow_vel_y,(initPos).x,(initPos).y,(((drivers.opticalFlow).processedMessage).payload).optical_flow_quality,(computedVelocity).x,(computedVelocity).y
0,0.000000,-0.0318207331,0.00427245302,73,60,60,0.000438000017,0.000438000017,73,0.0438000001,0.0438000001
1,0.009997,-0.00309031247,0.0210318659,68,200,20,0.00106040016,0.000815600157,67,0.136000007,0.0136000011
2,0.019972,-0.0150613207,-0.00530435378,68,200,20,0.00242040004,0.000951600319,67,0.136000007,0.0136000011
3,0.029992,-0.00309031247,0.0114550581,67,80,0,0.00361560006,0.00106040027,67,0.0536000021,0
4,0.039974,0.00648649409,0.00666665472,67,80,0,0.00415159995,0.00106040027,67,0.0536000021,0
5,0.049980,-0.0318207331,-0.0100927567,69,-60,0,0.00449759932,0.00106040027,67,-0.0414000005,0
6,0.059997,0.00888069626,0.0425796807,69,-60,0,0.0040835985,0.00106040027,67,-0.0414000005,0
7,0.070000,-0.0102729173,0.00666665472,68,-20,60,0.00372519833,0.00114200031,63,-0.0136000011,0.0408000052
8,0.079979,-0.017455522,-0.0172753613,68,-20,60,0.00358919846,0.00155000051,63,-0.0136000011,0.0408000052
9,0.089975,0.0352169164,0.00427245302,69,40,-220,0.00353559852,0.00157280068,69,0.0275999997,-0.151799992
10,0.100000,0.0280343089,0.033002872,69,40,-220,0.00381159829,5.4800752e-05,69,0.0275999997,-0.151799992
11,0.109991,0.00169809093,-0.0292463712,68,-40,-140,0.00397799816,-0.00134999934,70,-0.0272000022,-0.0952000022
12,0.119972,-0.0150613207,0.0306086726,68,-40,-140,0.00370599842,-0.0023019996,70,-0.0272000022,-0.0952000022
13,0.129986,-0.0198497251,-0.0268521681,69,0,-20,0.00348839862,-0.00309119979,75,0,-0.0137999998
14,0.139991,-0.017455522,-0.0292463712,69,0,-20,0.00348839862,-0.00322919968,75,0,-0.0137999998
15,0.149978,-0.0126671195,-0.0196695644,67,0,0,0.00348839862,-0.00333959959,74,0,0
16,0.159994,-0.0222439263,-0.00530435378,67,0,0,0.00348839862,-0.00333959959,74,0,0
17,0.169993,0.0208517052,-0.00291015184,69,100,280,0.00362639874,-0.00295319967,74,0.0689999983,0.193199992
18,0.180000,-0.000696110772,0.0258202683,69,100,280,0.00431639934,-0.00102119974,74,0.0689999983,0.193199992
19,0.189992,-0.0246381275,-0.00530435378,68,-200,160,0.00459639961,0.000742000237,74,-0.136000007,0.108800009
20,0.199995,-0.0078787161,-0.0388231762,68,-200,160,0.00323639927,0.00183000043,74,-0.136000007,0.108800009
21,0.209997,0.00409229239,-0.0148811601,68,-180,320,0.00190359936,0.00313560059,74,-0.122400008,0.217600018
22,0.219991,0.0184575021,-0.0268521681,68,-180,320,0.000679599354,0.00531160086,74,-0.122400008,0.217600018
23,0.229972,-0.0270323288,-0.0292463712,68,-100,160,-0.000435600785,0.00727000134,73,-0.0680000037,0.108800009
24,0.239977,-0.0054845144,0.0162434615,68,-100,160,-0.00111560081,0.00835800171,73,-0.0680000037,0.108800009
25,0.249999,-0.0054845144,0.0282144696,68,0,0,-0.00165960076,0.00922840089,73,-0.0680000037,0.108800009
26,0.259993,0.0280343089,-0.0268521681,68,0,0,-0.00165960076,0.00922840089,73,0,0
27,0.269990,0.0423995182,-0.0100927567,68,20,20,-0.00165960076,0.00922840089,76,0,0
28,0.279981,-0.0222439263,0.00427245302,68,20,20,-0.00152360089,0.00936440192,76,0.0136000011,0.0136000011
29,0.289956,-0.017455522,0.0234260671,68,-20,0,-0.00138760102,0.00950040296,76,0.0136000011,0.0136000011
30,0.299992,-0.0126671195,-0.0172753613,68,-20,0,-0.00152360089,0.00950040296,76,-0.0136000011,0
31,0.309979,0.0232459065,-0.0220637657,68,-500,-20,-0.00165960076,0.00950040296,70,-0.0136000011,0
32,0.319980,0.00648649409,0.0353970751,68,-500,-20,-0.00505960081,0.00936440192,70,-0.340000004,-0.0136000011
33,0.329972,-0.0246381275,0.0353970751,69,-160,80,-0.00845960062,0.00922840089,70,-0.340000004,-0.0136000011
34,0.339995,0.0232459065,0.0353970751,69,-160,80,-0.00956359971,0.00978040043,70,-0.110399999,0.0551999994
35,0.349990,0.0256401077,-0.0507941842,70,-20,60,-0.0106675988,0.0103324,65,-0.110399999,0.0551999994
36,0.359973,-0.0078787161,0.0473680831,70,-20,60,-0.0108075999,0.0107523985,65,-0.0139999995,0.0419999994
37,0.369980,0.00169809093,0.0258202683,69,-40,20,-0.0109476009,0.0111723971,71,-0.0139999995,0.0419999994
38,0.379999,-0.0150613207,-0.0100927567,69,-40,20,-0.011223603,0.0113103958,71,-0.0275999997,0.0137999998
39,0.389993,0.0400053188,-0.00530435378,69,60,-20,-0.0114996051,0.0114483945,65,-0.0275999997,0.0137999998
40,0.399997,-0.0246381275,-0.0244579669,69,60,-20,-0.0110856043,0.0113103958,65,0.0414000005,-0.0137999998
41,0.409990,0.0136690997,0.0210318659,70,60,-60,-0.0106716035,0.0111723971,65,0.0414000005,-0.0137999998
42,0.419999,-0.0342149362,-0.0220637657,70,60,-60,-0.010251605,0.0107523985,65,0.0419999994,-0.0419999994
43,0.429992,-0.00309031247,-0.0124869589,69,-80,20,-0.00983160641,0.0103324,66,0.0419999994,-0.0419999994
44,0.439993,0.0208517052,0.0234260671,69,-80,20,-0.010383606,0.0104703987,66,-0.0551999994,0.0137999998
45,0.449998,0.00409229239,-0.00291015184,68,0,-40,-0.0109356055,0.0106083974,67,-0.0551999994,0.0137999998
46,0.460001,-0.0318207331,0.0473680831,68,0,-40,-0.0109356055,0.0103363954,67,0,-0.0272000022
47,0.469974,-0.000696110772,0.00187825155,70,-40,0,-0.0109356055,0.0100643933,72,0,-0.0272000022
48,0.479949,0.00648649409,0.0569448918,70,-40,0,-0.0112156076,0.0100643933,72,-0.027999999,0
49,0.490001,0.030428512,-0.00769855548,69,20,0,-0.0114956098,0.0100643933,72,-0.027999999,0
50,0.499991,-0.0054845144,-0.0148811601,69,20,0,-0.011357611,0.0100643933,72,0.0137999998,0
51,0.509974,-0.0366091356,-0.0196695644,68,0,0,-0.0112196123,0.0100643933,71,0.0137999998,0
52,0.520000,0.0280343089,0.00427245302,68,0,0,-0.0112196123,0.0100643933,71,0,0
53,0.529995,-0.017455522,0.00427245302,68,60,0,-0.0112196123,0.0100643933,71,0,0
54,0.539995,0.0160633009,0.00906085689,68,60,0,-0.0108116139,0.0100643933,71,0.0408000052,0
55,0.549995,-0.0150613207,-0.0268521681,69,60,-60,-0.0104036154,0.0100643933,71,0.0408000052,0
56,0.559998,-0.0198497251,-0.00530435378,69,60,-60,-0.0099896146,0.00965039246,71,0.0414000005,-0.0414000005
57,0.569972,0.0328227133,-0.0340347737,68,-20,0,-0.00957561377,0.00923639163,70,0.0414000005,-0.0414000005
58,0.580001,0.00888069626,0.00906085689,68,-20,0,-0.00971161481,0.00923639163,70,-0.0136000011,0
59,0.589993,0.0112748975,0.0449738838,70,0,0,-0.00984761585,0.00923639163,70,-0.0136000011,0
60,0.599977,-0.0126671195,-0.0148811601,70,0,0,-0.00984761585,0.00923639163,70,0,0
61,0.609996,0.0112748975,0.0210318659,70,40,0,-0.00984761585,0.00923639163,75,0,0
62,0.619981,-0.0198497251,0.0521564856,68,40,0,-0.00957561377,0.00923639163,75,0.0272000022,0
