Index,Time,ax,ay,(computedVelocity).x,(computedVelocity).y,heading,((((aruwsrc::standard::DriversSingleton::drivers).opticalFlow).processedMessage).payload).optical_flow_quality
0,0.000000,-0.0121673346,-0.00464056525,0,0,180.013306,78
1,0.001978,-0.0313209482,-0.0142173721,0,0,180.013336,78
2,0.003980,0.0309282951,-0.0333709866,0,0,180.013611,78
3,0.005984,-0.0576571673,0.00493624154,0,0,180.013657,78
4,0.007984,-0.0169557389,-0.00942896865,0,0,180.013443,78
5,0.010003,0.00938048027,-0.0190057755,0,0,180.013229,78
6,0.011982,-0.0504745618,0.00493624154,0,0,180.012909,78
7,0.013982,0.0165630858,0.0408492684,0,0,180.012939,78
8,0.015973,-0.0121673346,-0.0213999767,0,0,180.013214,78
9,0.017974,-0.0385035537,-0.00224636332,0,0,180.013382,78
10,0.020001,0.0357166976,-0.038159389,-0.205999985,0,180.01329,78
11,0.021980,0.0381109007,0.00972464494,-0.205999985,0,180.013199,78
12,0.023981,-0.00977313332,-0.038159389,-0.205999985,0,180.013,78
13,0.025984,-0.0193499401,0.0145130483,-0.205999985,0,180.012665,78
14,0.027984,-0.0121673346,0.00972464494,-0.205999985,0,180.012589,78
15,0.029984,0.00938048027,0.0408492684,-0.205999985,0,180.012497,78
16,0.031994,0.0237456914,0.00493624154,-0.205999985,0,180.012405,78
17,0.033984,0.00459207688,-0.00224636332,-0.205999985,0,180.012451,78
18,0.035975,0.0309282951,0.00493624154,-0.205999985,0,180.012604,78
19,0.037975,-0.0313209482,-0.00224636332,-0.205999985,0,180.012634,79
20,0.039976,0.0189572871,0.00493624154,0,0,180.012314,79
21,0.041977,0.00219787541,-0.0237941779,0,0,180.012344,79
22,0.043994,0.00938048027,0.00972464494,0,0,180.012497,79
23,0.045974,-0.0145615367,0.0240898561,0,0,180.012421,79
24,0.047974,-0.0193499401,0.0408492684,0,0,180.012451,79
25,0.049975,0.00459207688,-0.0118231699,0,0,180.012482,79
26,0.051975,0.0165630858,-0.0309767835,0,0,180.012527,79
27,0.053994,0.0285340939,0.0312724598,0,0,180.01268,79
28,0.055974,-0.0145615367,0.0145130483,0,0,180.012466,79
29,0.057974,-0.0432919562,0.0336666629,0,0,180.012268,80
30,0.060004,0.0476877093,-0.00703476695,0,0,180.012421,80
31,0.061982,-0.00498472992,-0.00224636332,0,0,180.012329,80
32,0.064001,0.0213514883,-0.0285825823,0,0,180.012131,80
33,0.065982,0.0141688837,0.0384550653,0,0,180.012161,80
34,0.067982,-0.00498472992,-0.0621014051,0,0,180.012207,80
35,0.069983,0.00459207688,0.0169072505,0,0,180.012115,80
36,0.071983,-0.00498472992,-0.00942896865,0,0,180.012268,80
37,0.073999,-0.0145615367,0.00972464494,0,0,180.01207,80
38,0.075979,0.0165630858,-0.00703476695,0,0,180.011856,80
39,0.077979,0.0333224982,-0.0166115742,0,0,180.011765,84
40,0.079980,-0.00498472992,0.0240898561,0,0,180.011688,84
41,0.081980,0.0572645143,0.021695653,0,0,180.011597,84
42,0.084001,-0.000196326291,0.0169072505,0,0,180.011383,84
43,0.085982,-0.0313209482,-0.0166115742,0,0,180.011185,84
44,0.087982,-0.00259052799,-0.0190057755,0,0,180.011093,84
45,0.089983,-0.00977313332,0.0169072505,0,0,180.011139,84
46,0.091983,-0.00977313332,-0.00464056525,0,0,180.011047,84
47,0.093998,0.0237456914,0.0240898561,0,0,180.010956,84
48,0.095978,-0.00259052799,0.0288782585,0,0,180.011124,84
49,0.097978,-0.0313209482,0.000147838378,0,0,180.011398,82
50,0.099980,-0.0145615367,-0.0525246002,0,0,180.011795,82
51,0.101981,0.00698627857,0.00972464494,0,0,180.01207,82
52,0.103982,-0.0265325457,0.0312724598,0,0,180.012115,82
53,0.105999,0.00459207688,0.0240898561,0,0,180.012024,82
54,0.107977,-0.0145615367,0.000147838378,0,0,180.011932,82
55,0.109978,-0.0169557389,-0.0142173721,0,0,180.011978,82
56,0.111996,0.0117746824,0.00493624154,0,0,180.012009,82
57,0.113974,0.00459207688,0.0432434678,0,0,180.01181,82
58,0.116004,-0.0217441414,-0.026188381,0,0,180.011841,82
59,0.117982,-0.0337151513,-0.0429477915,0,0,180.011749,86
60,0.119982,-0.000196326291,-0.0213999767,0,0,180.011673,86
61,0.121983,-0.0241383426,0.0145130483,0,0,180.011581,86
62,0.123983,-0.0169557389,-0.026188381,0,0,180.011368,86
63,0.126003,-0.0337151513,-0.00224636332,0,0,180.011169,86
64,0.127982,-0.0217441414,0.0288782585,0,0,180.011078,86
65,0.129982,0.0117746824,0.00254204008,0,0,180.010986,86
66,0.131983,0.0524761118,0.021695653,0,0,180.011032,86
67,0.133983,-0.0408977568,-0.00464056525,0,0,180.010941,86
68,0.135974,0.0213514883,0.0145130483,0,0,180.011093,86
69,0.138005,-0.0121673346,-0.0237941779,0,0,180.011139,85
70,0.139983,-0.00259052799,-0.035765186,0,0,180.011047,85
71,0.141983,0.0213514883,-0.00224636332,0,0,180.011093,85
72,0.143983,0.0165630858,-0.0166115742,0,0,180.011124,85
73,0.145974,0.00459207688,0.000147838378,0,0,180.011154,85
74,0.148042,-0.00737893162,-0.0285825823,0,0,180.011307,85
75,0.149976,0.0117746824,-0.00703476695,0,0,180.011353,85
76,0.151976,0.0452935062,-0.00703476695,0,0,180.011017,85
77,0.153977,0.00698627857,0.0193014517,0,0,180.010941,85
78,0.155979,-0.00498472992,-0.0285825823,0,0,180.010971,85
79,0.157980,-0.000196326291,-0.0118231699,0,0,180.011002,85
80,0.159999,0.00219787541,0.0312724598,0,0,180.010925,88
