Index,Time,ax,ay,(computedVelocity).x,(computedVelocity).y,heading,((((aruwsrc::standard::DriversSingleton::drivers).opticalFlow).processedMessage).payload).optical_flow_quality
0,0.000000,0,0,0,0,0,0
1,0.019609,0,0,0,0,0,0
2,0.029601,0,0,0,0,0,0
3,0.039625,0,0,0,0,0,0
4,0.049604,0,0,0,0,0,0
5,0.059604,0,0,0,0,0,0
6,0.069606,0,0,0,0,0,0
7,0.079599,0,0,0,0,0,0
8,0.089621,0,0,0,0,0,0
9,0.099607,0,0,0,0,0,0
10,0.109626,0,0,0,0,0,0
11,0.119603,0,0,0,0,0,0
12,0.129638,0,0,0,0,0,0
13,0.139656,0,0,0,0,0,0
14,0.149620,0,0,0,0,0,0
15,0.159608,0,0,0,0,0,0
16,0.169627,0,0,0,0,0,0
17,0.179626,0,0,0,0,0,0
18,0.189786,0,0,0,0,0,0
19,0.199627,0,0,0,0,0,0
20,0.209600,0,0,0,0,0,0
21,0.219628,0,0,0,0,0,0
22,0.229622,0,0,0,0,0,0
23,0.239605,0,0,0,0,180,0
24,0.249626,-0.337582439,0.0933738649,0,0,180.012039,0
25,0.259624,-0.366312861,0.141257897,0.0219999999,0,180.021042,98
26,0.269608,-0.37349546,0.160411507,0.0219999999,0,180.033096,98
27,0.279602,-0.349553436,0.110133275,0.0223999992,-0.0223999992,180.045502,100
28,0.289607,-0.368707061,0.114921682,0.0223999992,-0.0223999992,180.057663,100
29,0.299624,-0.351947635,0.08379706,0.0216000006,0,180.069595,98
30,0.309599,-0.33518824,0.0981622711,0.0216000006,0,180.082367,98
31,0.319603,-0.378283858,0.112527482,0,0,180.09465,97
32,0.329582,-0.339976639,0.0933738649,0,0,180.106094,97
33,0.339606,-0.383072257,0.105344877,0.0219999999,0,180.118744,96
34,0.349604,-0.349553436,0.0885854661,0.0219999999,0,180.130417,96
35,0.359622,-0.37110126,0.126892686,0,0,180.142471,96
36,0.369626,-0.368707061,0.1316811,0,0,180.155243,96
37,0.379600,-0.33518824,0.117315881,0,-0.0219999999,180.167404,95
38,0.389627,-0.380678058,0.122104287,0,-0.0219999999,180.179077,95
39,0.399603,-0.356736064,0.0957680643,0,0,180.191498,95
40,0.409609,-0.361524463,0.158017308,0,0,180.203537,95
41,0.419621,-0.33279404,0.14844051,0,0,180.215942,99
42,0.429608,-0.328005642,0.117315881,0,0,180.227875,99
43,0.439587,-0.304063618,0.172382519,0,0,180.239548,96
44,0.449604,-0.378283858,0.129286885,0,0,180.251587,96
45,0.459606,-0.337582439,0.124498487,0,0,180.263763,100
46,0.469607,-0.330399841,0.141257897,0,0,180.276291,100
47,0.479621,-0.392649084,0.10295067,0,0,180.288101,98
48,0.489608,-0.316034615,0.1316811,0,0,180.300018,98
49,0.499604,-0.339976639,0.0790086538,0.0221999995,0,180.31279,97
50,0.509618,-0.354341865,0.141257897,0.0221999995,0,180.324829,97
51,0.519605,-0.368707061,0.124498487,-0.0447999984,0.0223999992,180.336151,96
52,0.529624,-0.37110126,0.143652096,-0.0447999984,0.0223999992,180.347717,96
53,0.539624,-0.361524463,0.0981622711,0,0,180.35939,95
54,0.549618,-0.402225882,0.146046311,0,0,180.371429,95
55,0.559608,-0.337582439,0.119710088,-0.0223999992,0,180.384445,95
56,0.569598,-0.351947635,0.0981622711,-0.0223999992,0,180.396866,95
57,0.579578,-0.399831682,0.114921682,0,0,180.408905,95
58,0.589629,-0.347159237,0.105344877,0,0,180.420959,95
59,0.599599,-0.378283858,0.119710088,0.0223999992,0,180.432755,98
60,0.609602,-0.383072257,0.138863698,0.0223999992,0,180.444672,98
61,0.619809,-0.368707061,0.08379706,0,0,180.456604,98
62,0.629626,-0.37110126,0.107739076,0,0,180.468643,98
63,0.639600,-0.375889659,0.105344877,0.0443999991,-0.0221999995,180.480331,97
64,0.649605,-0.33279404,0.10295067,0.0443999991,-0.0221999995,180.492371,97
65,0.659626,-0.354341865,0.14844051,0,0,180.503937,97
66,0.669629,-0.337582439,0.119710088,0,0,180.515976,97
67,0.679618,-0.37110126,0.160411507,0,0,180.528625,93
68,0.689603,-0.339976639,0.153228909,0,0,180.54068,93
69,0.699602,-0.37110126,0.105344877,0,0,180.551743,96
70,0.709629,-0.325611442,0.126892686,0,0,180.564514,96
71,0.719624,-0.383072257,0.155623108,-0.0443999991,0,180.577545,96
72,0.729623,-0.354341865,0.0814028606,-0.0443999991,0,180.589706,96
73,0.739607,-0.375889659,0.165199921,0,0,180.601395,98
74,0.749625,-0.339976639,0.107739076,0,0,180.614288,98
75,0.759598,-0.395043284,0.119710088,-0.0223999992,0.0223999992,180.62706,98
76,0.769621,-0.342370838,0.112527482,-0.0223999992,0.0223999992,180.638611,98
77,0.779624,-0.349553436,0.129286885,0,0,180.650421,97
78,0.789605,-0.390254885,0.08379706,0,0,180.662582,97
79,0.799622,-0.359130263,0.1316811,0,0,180.675125,97
80,0.809607,-0.356736064,0.124498487,0,0,180.687531,97
81,0.819623,-0.368707061,0.124498487,0.0223999992,0,180.699219,95
82,0.829601,-0.33518824,0.112527482,0.0223999992,0,180.712112,95
83,0.839628,-0.344765037,0.0981622711,0,0,180.724152,97
84,0.849629,-0.397437483,0.129286885,0,0,180.734863,97
85,0.859619,-0.390254885,0.0670376495,-0.0223999992,0,180.74411,94
86,0.869603,-0.323217243,0.117315881,-0.0223999992,0,180.755798,94
87,0.879618,-0.351947635,0.0885854661,0,0,180.766739,94
88,0.889608,-0.347159237,0.107739076,0,0,180.779266,94
89,0.899632,-0.354341865,0.0909796655,0,0,180.790588,98
90,0.909620,-0.349553436,0.114921682,0,0,180.803116,98
91,0.919624,-0.363918662,0.107739076,0.0221999995,0,180.815903,97
92,0.929608,-0.37110126,0.134075299,0.0221999995,0,180.829163,97
93,0.939605,-0.407014281,0.174776718,0,0,180.841934,96
94,0.949599,-0.361524463,0.126892686,0,0,180.854233,96
95,0.959628,-0.349553436,0.105344877,0,0,180.866272,96
96,0.969605,-0.328005642,0.0957680643,0,0,180.878677,96
97,0.979602,-0.354341865,0.10295067,0.0223999992,0,180.89061,95
98,0.989601,-0.411802679,0.122104287,0.0223999992,0,180.903137,95
99,0.999618,-0.359130263,0.136469498,0,0,180.915787,94
100,1.009607,-0.351947635,0.107739076,0,0,180.927719,94
101,1.019604,-0.390254885,0.150834709,0.0221999995,0,180.940491,94
102,1.029608,-0.33518824,0.141257897,0.0221999995,0,180.953156,94
103,1.039607,-0.37349546,0.114921682,0.0221999995,-0.0443999991,180.965561,98
104,1.049587,-0.356736064,0.129286885,0.0221999995,-0.0443999991,180.97821,98
105,1.059623,-0.359130263,0.08379706,0.0223999992,-0.0223999992,180.990143,97
106,1.069598,-0.363918662,0.126892686,0.0223999992,-0.0223999992,181.00206,97
107,1.079602,-0.318428814,0.153228909,0,0,181.014603,99
108,1.089599,-0.387860686,0.08379706,0,0,181.027008,99
109,1.099609,-0.356736064,0.0814028606,0,0,181.039291,97
110,1.109606,-0.37110126,0.119710088,0,0,181.0522,97
111,1.119682,-0.392649084,0.114921682,-0.0221999995,0.0221999995,181.065338,96
112,1.129624,-0.330399841,0.119710088,-0.0221999995,0.0221999995,181.077377,96
113,1.139609,-0.347159237,0.126892686,0,0,181.089432,96
114,1.149601,-0.354341865,0.134075299,0,0,181.101471,96
115,1.159618,-0.366312861,0.0790086538,0,0,181.114136,95
116,1.169605,-0.368707061,0.124498487,0,0,181.126541,95
117,1.179602,-0.311246216,0.105344877,0,0,181.138718,95
118,1.189583,-0.366312861,0.0981622711,0,0,181.151123,95
119,1.199619,-0.356736064,0.122104287,0,0,181.163162,94
120,1.209605,-0.33518824,0.119710088,0,0,181.175949,94
121,1.219602,-0.342370838,0.0814028606,-0.0447999984,0,181.188721,98
122,1.229706,-0.368707061,0.134075299,-0.0447999984,0,181.200272,98
123,1.239625,-0.392649084,0.126892686,0,0,181.211838,98
124,1.249603,-0.383072257,0.0790086538,0,0,181.223404,98
125,1.259606,-0.304063618,0.162805721,0.0443999991,-0.0221999995,181.236298,100
126,1.269598,-0.349553436,0.0814028606,0.0443999991,-0.0221999995,181.248581,100
127,1.279629,-0.325611442,0.112527482,-0.0221999995,0,181.261124,98
128,1.289600,-0.347159237,0.114921682,-0.0221999995,0,181.273529,98
129,1.299625,-0.320823014,0.0766144544,-0.0221999995,0,181.285095,98
130,1.309624,-0.363918662,0.117315881,-0.0221999995,0,181.296661,98
131,1.319606,-0.359130263,0.153228909,0,0,181.308945,97
132,1.329643,-0.378283858,0.107739076,0,0,181.320999,97
133,1.339601,-0.320823014,0.124498487,-0.0219999999,0.0219999999,181.333038,97
134,1.349628,-0.342370838,0.160411507,-0.0219999999,0.0219999999,181.345215,97
135,1.359608,-0.368707061,0.074220255,-0.0221999995,0,181.356293,100
136,1.369603,-0.330399841,0.119710088,-0.0221999995,0,181.368454,100
137,1.379599,-0.289698392,0.107739076,0.0221999995,0,181.380264,99
138,1.389605,-0.368707061,0.112527482,0.0221999995,0,181.39122,99
139,1.399627,-0.330399841,0.0790086538,0,0.0219999999,181.403748,97
140,1.409620,-0.349553436,0.1316811,0,0.0219999999,181.416031,97
141,1.419603,-0.390254885,0.143652096,0,0.0221999995,181.428207,97
142,1.429600,-0.33518824,0.074220255,0,0.0221999995,181.440491,97
143,1.439619,-0.313640416,0.110133275,0,-0.0219999999,181.452667,92
144,1.449603,-0.356736064,0.119710088,0,-0.0219999999,181.463989,92
145,1.459626,-0.354341865,0.0909796655,0,0,181.475418,96
146,1.469599,-0.363918662,0.158017308,0,0,181.485519,96
147,1.479589,-0.361524463,0.105344877,-0.0221999995,0,181.497574,96
148,1.489623,-0.337582439,0.129286885,-0.0221999995,0,181.510101,96
149,1.499626,-0.337582439,0.138863698,0,0,181.522156,96
150,1.509604,-0.308852017,0.146046311,0,0,181.534073,96
151,1.519598,-0.349553436,0.153228909,-0.0219999999,0.0219999999,181.546371,99
152,1.529628,-0.344765037,0.110133275,-0.0219999999,0.0219999999,181.557938,99
153,1.539609,-0.347159237,0.0981622711,0,0.0219999999,181.570099,97
154,1.549609,-0.342370838,0.136469498,0,0.0219999999,181.581421,97
155,1.559601,-0.378283858,0.0909796655,0,0,181.593704,100
156,1.569620,-0.304063618,0.146046311,0,0,181.607208,100
157,1.579605,-0.390254885,0.122104287,0,0,181.619751,98
158,1.589622,-0.383072257,0.134075299,0,0,181.63179,98
159,1.599603,-0.354341865,0.155623108,0,0,181.644577,98
160,1.609628,-0.339976639,0.0861912593,0,0,181.655899,98
161,1.619620,-0.366312861,0.138863698,0.0217999984,0,181.668549,97
162,1.629620,-0.366312861,0.119710088,0.0217999984,0,181.680359,97
163,1.639599,-0.342370838,0.105344877,0,0.0221999995,181.69252,97
164,1.649603,-0.359130263,0.14844051,0,0.0221999995,181.704819,97
165,1.659582,-0.366312861,0.136469498,0,-0.0217999984,181.716248,97
