Index,Time,ax,ay,(computedVelocity).x,(computedVelocity).y,heading,((((aruwsrc::standard::DriversSingleton::drivers).opticalFlow).processedMessage).payload).optical_flow_quality
0,0.000000,0,0,0,0,0,0
1,0.019826,0,0,0,0,0,0
2,0.029827,0,0,0,0,0,0
3,0.039804,0,0,0,0,0,0
4,0.049834,0,0,0,0,0,0
5,0.059804,0,0,0,0,0,0
6,0.069812,0,0,0,0,0,0
7,0.079830,0,0,0,0,0,0
8,0.089808,0,0,0,0,0,0
9,0.099810,0,0,0,0,0,0
10,0.109812,0,0,0,0,0,0
11,0.119807,0,0,0,0,0,0
12,0.129858,0,0,0,0,0,0
13,0.139852,0,0,0,0,0,0
14,0.149788,0,0,0,0,0,0
15,0.159827,0,0,0,0,0,0
16,0.169832,0,0,0,0,0,0
17,0.179806,0,0,0,0,0,0
18,0.189808,0,0,0,0,0,0
19,0.199827,0,0,0,0,0,0
20,0.209824,0,0,0,0,0,0
21,0.219808,0,0,0,0,0,0
22,0.229808,0,0,0,0,0,0
23,0.239826,0,0,0,0,180,0
24,0.249829,-0.452504128,0.0861912593,0,0,180.012283,0
25,0.259824,-0.411802679,0.0167594124,0,0,180.025055,81
26,0.269834,-0.414196908,0.0622492433,0,0,180.038086,81
27,0.279831,-0.442927301,0.0598550439,0,-0.0189999994,180.050491,80
28,0.289824,-0.423773706,0.0526724383,0,-0.0189999994,180.062408,80
29,0.299809,-0.428562105,0.0574608408,-0.0195999984,0,180.074692,84
30,0.309830,-0.418985307,0.0287304204,-0.0195999984,0,180.086868,84
31,0.319834,-0.454898328,0.0694318488,-0.0195999984,0,180.099274,83
32,0.329823,-0.442927301,0.0694318488,0,0,180.109863,83
33,0.339809,-0.411802679,0.0646434426,0,0,180.122269,87
34,0.349810,-0.402225882,0.0167594124,0.0192000009,0,180.134918,87
35,0.359789,-0.462080926,0.0718260482,0.0192000009,0,180.1483,85
36,0.369827,-0.459686726,0.08379706,0,0,180.159622,85
37,0.379812,-0.462080926,0.0526724383,0,0,180.171295,85
38,0.389827,-0.418985307,0.0574608408,0,0,180.183334,85
39,0.399827,-0.454898328,0.0215478148,0,0,180.195633,83
40,0.409831,-0.454898328,0.0766144544,0,0.0189999994,180.207794,83
41,0.419810,-0.452504128,0.0790086538,0,0,180.220688,83
42,0.429826,-0.44532153,0.0957680643,0,0,180.233948,83
43,0.439805,-0.440533102,0.0454898328,0,0,180.24588,83
44,0.449840,-0.466869324,0.0167594124,0.0189999994,0,180.258286,83
45,0.459810,-0.421379507,0.074220255,0,0,180.270325,83
46,0.469813,-0.402225882,0.0550666377,0,0,180.282974,83
47,0.479792,-0.40940848,0.0526724383,0.0379999988,0,180.294907,84
48,0.489831,-0.450109929,0.0550666377,0.0379999988,0,180.307312,84
49,0.499834,-0.397437483,0.074220255,0.0189999994,0,180.319473,84
50,0.509831,-0.414196908,0.0215478148,0.0189999994,0,180.331772,84
51,0.519806,-0.440533102,0.0790086538,0.0189999994,0,180.343445,82
52,0.529804,-0.450109929,0.0239420161,0.0189999994,0,180.355972,82
53,0.539830,-0.407014281,0.0574608408,0.0189999994,0,180.369003,82
54,0.549808,-0.466869324,0.0023942017,0.0189999994,0,180.381042,82
55,0.559829,-0.462080926,0.0502782352,0,-0.0189999994,180.393326,78
56,0.569830,-0.399831682,0.0407014303,0,-0.0189999994,180.405853,78
57,0.579809,-0.44532153,0.08379706,0.0379999988,0,180.416809,82
58,0.589810,-0.40940848,0.0694318488,0.0379999988,0,180.429581,82
59,0.599825,-0.44532153,0.0335188247,0,0.0189999994,180.441391,78
60,0.609814,-0.459686726,0.0646434426,0,0.0189999994,180.453674,78
61,0.619780,-0.418985307,0.0670376495,0,0,180.465347,79
62,0.629806,-0.426167905,0.0957680643,0,0,180.477524,79
63,0.639833,-0.469263524,0.0311246216,0,0,180.489319,80
64,0.649831,-0.426167905,0.0430956297,0,0,180.50209,80
65,0.659806,-0.423773706,0.0646434426,-0.0569999963,0.0189999994,180.514267,80
66,0.669804,-0.416591108,0.0359130241,-0.0569999963,0.0189999994,180.525696,80
67,0.679831,-0.447715729,0.0670376495,0,0.0189999994,180.537994,84
68,0.689810,-0.452504128,0.0646434426,0,0.0189999994,180.549423,84
69,0.699807,-0.416591108,0.0407014303,-0.0189999994,0,180.561951,84
70,0.709804,-0.442927301,0.0622492433,-0.0189999994,0,180.573273,84
71,0.719830,-0.462080926,0.0478840321,0,0,180.586411,83
72,0.729806,-0.459686726,0.0383072272,0,0,180.599182,83
73,0.739813,-0.454898328,-0.0047884034,0.0569999963,0,180.611588,80
74,0.749827,-0.435744703,0.0598550439,0.0569999963,0,180.623398,80
75,0.759813,-0.438138902,0.0574608408,0.0194000006,-0.0194000006,180.634354,80
76,0.769791,-0.40940848,0.011971008,0.0194000006,-0.0194000006,180.646759,80
77,0.779831,-0.426167905,0.0646434426,0,0,180.659286,79
78,0.789805,-0.462080926,0.0454898328,0,0,180.672302,79
79,0.799806,-0.462080926,0.0622492433,0,0,180.684113,79
80,0.809806,-0.421379507,0.0359130241,0,0,180.69603,79
81,0.819825,-0.426167905,0.0430956297,0,0,180.708557,83
82,0.829825,-0.452504128,0.0430956297,0,0,180.72049,83
83,0.839803,-0.44532153,0.0430956297,0,-0.0195999984,180.732651,81
84,0.849833,-0.416591108,0.0598550439,0,-0.0195999984,180.745056,81
85,0.859806,-0.402225882,0.0383072272,-0.0384000018,-0.0192000009,180.757233,80
86,0.869831,-0.457292527,0.0622492433,-0.0384000018,-0.0192000009,180.770126,80
87,0.879806,-0.459686726,0.0215478148,-0.0759999976,-0.0189999994,180.781799,77
88,0.889809,-0.457292527,0.0526724383,-0.0759999976,-0.0189999994,180.794708,77
89,0.899809,-0.452504128,0.0598550439,-0.0391999967,-0.0195999984,180.806625,77
