Index,Time,ax,ay,(computedVelocity).x,(computedVelocity).y,heading,((((aruwsrc::standard::DriversSingleton::drivers).opticalFlow).processedMessage).payload).optical_flow_quality
0,0.000000,-0.100048304,0.0368168391,0,0,81.5312424,74
1,0.010000,-0.138355523,0.0248458292,0,0,81.5313644,74
2,0.019998,-0.092865698,0.00569221564,0,0,81.5314102,74
3,0.030003,-0.0904714987,-0.00867299456,0,0,81.5300674,74
4,0.039993,-0.109625109,-0.0278266072,0,0,81.5281372,74
5,0.050000,-0.150326535,-0.00149038923,0.0208000001,0,81.5271683,78
6,0.059996,-0.092865698,0.034422636,0.0208000001,0,81.5267944,78
7,0.069994,-0.12159612,0.0703356639,-0.0208000001,0.0416000001,81.5276566,72
8,0.079993,-0.140749738,0.0894892812,-0.0208000001,0.0416000001,81.5280304,72
9,0.090006,-0.0761062875,0.0152690224,0,0,81.528923,72
10,0.100124,-0.0808946863,0.022451628,0,0,81.5283279,72
11,0.110167,-0.0785004869,-0.061345432,0,0,81.5273514,69
12,0.119978,-0.0569526702,-0.0158555992,0,0,81.526268,69
13,0.130003,-0.0545584708,0.00569221564,0,0,81.5256805,70
14,0.140002,-0.092865698,0.0463936441,0,0,81.5268021,70
15,0.149994,-0.104836702,0.0511820465,0,0,81.5270462,70
16,0.160002,-0.092865698,0.0823066756,0,0,81.5277863,70
17,0.169999,-0.0904714987,0.0823066756,0,-0.0208000001,81.5272064,70
18,0.179994,-0.107230909,0.0607588552,0,-0.0208000001,81.5258865,70
19,0.189999,-0.100048304,0.0200574268,0,-0.0203999989,81.5257874,70
20,0.200001,-0.092865698,0.0463936441,0,-0.0203999989,81.5249481,70
21,0.209999,-0.0856830925,0.0416052416,-0.0416000001,0,81.5248489,70
22,0.219993,-0.12399032,0.0248458292,-0.0416000001,0,81.5237656,70
23,0.229998,-0.100048304,0.0392110385,0,0,81.5230331,70
24,0.239998,-0.102442503,0.0152690224,0,0,81.5226822,70
25,0.249998,-0.12399032,0.0416052416,0,0,81.5230484,68
26,0.260003,-0.12159612,0.0392110385,0,0,81.5229416,68
27,0.270000,-0.109625109,0.022451628,0,-0.0205999985,81.5226059,69
28,0.279995,-0.100048304,0.0535762496,0,-0.0205999985,81.5214005,69
29,0.289999,-0.092865698,0.0559704527,0,0,81.5216446,70
30,0.299997,-0.107230909,0.0559704527,0,0,81.5224304,70
31,0.310003,-0.092865698,0.0320284329,0,0,81.5223007,71
32,0.320002,-0.119201913,0.00569221564,0,0,81.5224304,71
33,0.330000,-0.135961324,0.0487878472,-0.0208000001,0,81.522171,76
34,0.340001,-0.0976541042,0.034422636,-0.0208000001,0,81.5220947,76
35,0.350001,-0.155114949,0.0128748212,0,0,81.5231857,73
36,0.359980,-0.0952598974,0.103854492,0,0,81.5229797,73
37,0.369993,-0.128778726,0.000903812412,0.0208000001,-0.0208000001,81.5222549,77
38,0.379993,-0.0952598974,-0.0182498004,0.0208000001,-0.0208000001,81.52211,77
39,0.390000,-0.092865698,0.0870950818,0,0,81.5213852,76
40,0.400000,-0.0497700684,0.0272400305,0,0,81.521019,76
41,0.409995,-0.0785004869,0.022451628,0.0203999989,0,81.519783,74
42,0.420001,-0.0377990566,0.0631530583,0.0203999989,0,81.5199127,74
43,0.429996,-0.0856830925,0.125402302,0,-0.0208000001,81.5194321,74
44,0.440003,-0.0761062875,0.0870950818,0,-0.0208000001,81.5187378,74
45,0.449995,-0.162297547,0.0487878472,0,0,81.5182571,73
46,0.460001,-0.0976541042,0.0200574268,0,0,81.518898,73
47,0.470003,-0.126384526,0.022451628,0,0.0203999989,81.5187759,73
48,0.480000,-0.114413515,0.00329801417,0,0.0203999989,81.5186768,73
49,0.490013,-0.0808946863,0.0631530583,0,0,81.5190582,73
50,0.499994,-0.0593468733,-0.00149038923,0,0,81.5196762,73
51,0.510001,-0.107230909,0.0607588552,0,0.0205999985,81.5198975,74
52,0.520001,-0.0401932597,0.010480619,0,0.0205999985,81.5204163,74
53,0.529999,-0.0761062875,0.0320284329,0,0,81.5209274,73
54,0.540001,-0.0569526702,0.0320284329,0,0,81.5203323,73
55,0.549996,-0.0641352758,0.0272400305,0.0199999996,0.0199999996,81.5205917,72
56,0.560003,-0.0641352758,0.0631530583,0.0199999996,0.0199999996,81.5209961,72
57,0.569997,-0.0713178813,0.0368168391,0,0,81.5206528,73
58,0.579996,-0.119201913,0.0918834805,0,0,81.5201797,73
59,0.589993,-0.126384526,0.0775182694,0,0.0201999992,81.5201874,69
60,0.600000,-0.0808946863,0.0272400305,0,0.0201999992,81.5203247,69
61,0.609993,-0.0904714987,-0.00388459093,0,0.0203999989,81.5199738,73
62,0.620000,-0.126384526,0.00569221564,0,0.0203999989,81.5196075,73
63,0.630237,-0.109625109,0.0607588552,0,0,81.5191116,72
64,0.640001,-0.145538136,0.0320284329,0,0,81.5197067,72
65,0.650003,-0.119201913,0.0703356639,0.0208000001,-0.0208000001,81.5202332,76
66,0.660003,-0.068923682,0.0535762496,0.0208000001,-0.0208000001,81.5207443,76
67,0.669997,-0.0377990566,0.0320284329,0.0208000001,-0.0208000001,81.5202789,75
68,0.679996,-0.138355523,0.0559704527,0.0208000001,-0.0208000001,81.5196915,75
69,0.690002,-0.0904714987,0.0200574268,-0.0205999985,0,81.5194702,74
70,0.699995,-0.0832888931,0.0631530583,-0.0205999985,0,81.5199585,74
71,0.710001,-0.12159612,0.0272400305,0,0,81.5207062,78
72,0.719995,-0.179056957,0.0296342336,0,0,81.5194931,78
73,0.729998,-0.179056957,-0.013461398,0,-0.0205999985,81.5184174,77
74,0.739999,-0.128778726,0.0080864178,0,-0.0205999985,81.5179367,77
75,0.750003,-0.145538136,0.00329801417,0,0.0203999989,81.5190506,80
76,0.760000,-0.131172925,0.000903812412,0,0.0203999989,81.5200195,80
77,0.769994,-0.0904714987,0.0080864178,0,0.0399999991,81.5207672,75
78,0.779993,-0.0808946863,0.000903812412,0,0.0399999991,81.5205231,75
79,0.790000,-0.131172925,0.034422636,0.0199999996,-0.0199999996,81.5209274,74
80,0.799993,-0.0976541042,0.00569221564,0.0199999996,-0.0199999996,81.5213165,74
81,0.809999,-0.104836702,0.0392110385,0,-0.0197999999,81.5219269,73
82,0.819993,-0.114413515,0.0272400305,0,-0.0197999999,81.523407,73
83,0.830000,-0.0832888931,0.00329801417,0.0203999989,0,81.524025,73
84,0.839999,-0.102442503,0.034422636,0.0203999989,0,81.5239258,73
85,0.849993,-0.143143937,0.0392110385,0.0197999999,-0.0197999999,81.523819,72
86,0.860000,-0.119201913,-0.00867299456,0.0197999999,-0.0197999999,81.5237122,72
87,0.870002,-0.114413515,0.010480619,0,-0.0205999985,81.5231171,72
88,0.879997,-0.0665294752,0.0296342336,0,-0.0205999985,81.5225296,72
89,0.890003,-0.114413515,0.0487878472,0.0395999998,-0.0197999999,81.5230255,72
90,0.899997,-0.133567125,0.0272400305,0.0395999998,-0.0197999999,81.5218048,72
91,0.909994,-0.126384526,-0.0182498004,-0.0203999989,0,81.5219193,70
92,0.920003,-0.114413515,0.0487878472,-0.0203999989,0,81.5214539,70
93,0.929998,-0.12159612,-0.0158555992,0,0,81.5212326,70
94,0.939996,-0.12399032,0.0559704527,0,0,81.5218506,70
95,0.949993,-0.126384526,0.0368168391,0,0,81.5222321,70
96,0.959998,-0.104836702,0.0152690224,0,0,81.5231018,70
97,0.969993,-0.104836702,0.0823066756,0,-0.0199999996,81.5234833,71
98,0.979993,-0.131172925,0.0487878472,0,-0.0199999996,81.5232468,71
99,0.989993,-0.116807714,0.0296342336,0,-0.0199999996,81.5233688,77
100,0.999999,-0.0976541042,0.0392110385,0,0,81.522995,77
101,1.010001,-0.0808946863,0.0607588552,0,0,81.5226593,72
102,1.019995,-0.119201913,0.0559704527,0,0.0197999999,81.5214539,72
103,1.029975,-0.133567125,0.0272400305,0,0.0197999999,81.5212173,77
104,1.040003,-0.0785004869,0.0392110385,0,0,81.5215988,77
105,1.050002,-0.114413515,0.0152690224,0,0,81.522583,76
106,1.060000,-0.0641352758,0.022451628,0,0,81.5224533,76
107,1.069994,-0.0737120807,0.00329801417,0,0,81.5224915,75
108,1.080001,-0.0904714987,0.0080864178,0,0,81.5227356,75
109,1.089994,-0.0952598974,0.0918834805,0,0,81.5220108,74
110,1.100000,-0.0785004869,0.010480619,0,-0.0199999996,81.5227585,74
111,1.109996,-0.152720734,0.101460285,0,-0.0199999996,81.5236359,72
112,1.120003,-0.138355523,0.142161712,-0.0203999989,0,81.5240021,72
113,1.129995,-0.157509148,0.0463936441,-0.0203999989,0,81.5239258,73
114,1.140003,-0.119201913,0.0559704527,0,0,81.5233078,73
115,1.149999,-0.0976541042,0.00569221564,0,0,81.5228424,73
116,1.159996,-0.0785004869,0.00329801417,0.0201999992,0,81.5233307,73
117,1.170003,-0.0808946863,0.010480619,0.0201999992,0,81.5234604,73
118,1.179982,-0.116807714,0.00569221564,0.0203999989,-0.0203999989,81.5235519,73
119,1.190001,-0.0952598974,-0.0230382048,0.0203999989,-0.0203999989,81.525177,73
120,1.200002,-0.0904714987,0.0176632237,0.0201999992,0,81.5253067,74
121,1.209997,-0.0617410764,0.0368168391,0.0201999992,0,81.5254517,74
122,1.219993,-0.0880772918,-0.0350092128,-0.0403999984,0.0403999984,81.5245972,73
123,1.230000,-0.100048304,0.0152690224,-0.0403999984,0.0403999984,81.524025,73
124,1.239996,-0.0713178813,0.0487878472,0,-0.0199999996,81.5246353,73
125,1.249993,-0.179056957,0.0583646521,0,-0.0199999996,81.5252609,73
126,1.259998,-0.0880772918,0.0439994447,0,0,81.525032,67
127,1.270002,-0.0880772918,0.0607588552,0,0,81.5255051,67
128,1.279993,-0.109625109,0.0655472577,-0.0199999996,0,81.5257797,70
129,1.289995,-0.0952598974,0.0152690224,-0.0199999996,0,81.5270157,70
130,1.300002,-0.102442503,0.067941457,0.0199999996,0.0199999996,81.5267868,71
131,1.309997,-0.0761062875,0.000903812412,0.0199999996,0.0199999996,81.526413,71
132,1.320002,-0.109625109,0.0152690224,-0.0199999996,0,81.5270462,76
133,1.330000,-0.0617410764,0.034422636,-0.0199999996,0,81.5265732,76
134,1.339994,-0.102442503,0.022451628,0,0.0199999996,81.5262146,75
135,1.350003,-0.092865698,0.0631530583,0,0.0199999996,81.527092,75
136,1.359983,-0.112019308,0.0631530583,0,0,81.5290451,74
137,1.370001,-0.145538136,0.0320284329,0,0,81.5293198,74
138,1.380003,-0.12399032,0.0152690224,0.0199999996,0,81.5285873,77
139,1.389993,-0.0832888931,0.0272400305,0.0199999996,0,81.529213,77
140,1.399997,-0.119201913,0.0823066756,0.0197999999,-0.0197999999,81.5289917,76
141,1.410001,-0.0856830925,0.0511820465,0.0197999999,-0.0197999999,81.5282669,76
142,1.419996,-0.109625109,0.0727298632,-0.0199999996,0.0199999996,81.5270615,78
143,1.430004,-0.12159612,-0.00867299456,-0.0199999996,0.0199999996,81.526474,78
144,1.439999,-0.112019308,0.0727298632,-0.0199999996,0,81.5266113,72
145,1.449994,-0.114413515,0.0272400305,-0.0199999996,0,81.5261383,72
146,1.459997,-0.0904714987,0.0272400305,-0.0199999996,0.0199999996,81.5263901,72
147,1.469999,-0.092865698,0.0535762496,-0.0199999996,0.0199999996,81.5273743,72
148,1.479996,-0.100048304,0.0607588552,0,0.0199999996,81.5284882,71
149,1.490002,-0.114413515,0.000903812412,0,0.0199999996,81.5289841,71
150,1.499993,-0.102442503,0.0607588552,0,-0.0199999996,81.5293884,71
151,1.509998,-0.114413515,0.0775182694,0,-0.0199999996,81.5299988,71
152,1.519977,-0.135961324,0.0368168391,0,0,81.5300293,70
153,1.529997,-0.12399032,-0.00388459093,0,0,81.5303955,70
154,1.540003,-0.138355523,0.0368168391,-0.0199999996,0,81.5305328,71
155,1.549995,-0.0617410764,0.000903812412,-0.0199999996,0,81.5300522,71
156,1.559998,-0.12399032,-0.013461398,0,0,81.5310516,71
157,1.570003,-0.0641352758,0.0200574268,0,0,81.531311,71
158,1.580002,-0.12159612,0.00569221564,0,0,81.5312958,71
159,1.589995,-0.0569526702,0.0511820465,0,0,81.5308304,71
160,1.599994,-0.0832888931,0.0583646521,0,0,81.5308456,70
161,1.609996,-0.0952598974,0.0559704527,0,0,81.5301208,70
162,1.619993,-0.104836702,0.0535762496,0,0,81.530014,70
163,1.629999,-0.164691746,0.0200574268,0,0,81.5292816,70
164,1.639996,-0.114413515,0.0392110385,0,0.0199999996,81.5284729,70
165,1.649998,-0.102442503,0.0463936441,0,0.0199999996,81.5283585,70
166,1.659994,-0.109625109,0.0272400305,0.0205999985,-0.0205999985,81.5284653,75
167,1.670001,-0.116807714,0.0320284329,0.0205999985,-0.0205999985,81.529213,75
168,1.679995,-0.0856830925,-0.00388459093,0,0,81.5289917,73
169,1.690001,-0.104836702,0.0727298632,0,0,81.5288544,73
170,1.699997,-0.0808946863,0.0416052416,0,0,81.5291367,77
171,1.709993,-0.0761062875,0.0487878472,0,0,81.5299911,77
172,1.719997,-0.133567125,0.0128748212,0,0,81.5305099,76
173,1.729993,-0.152720734,0.0559704527,0,0,81.5307693,76
174,1.740000,-0.135961324,0.0439994447,0,0,81.5300598,75
175,1.749998,-0.0904714987,0.0248458292,0,0,81.5300598,75
176,1.759996,-0.0713178813,0.0487878472,0,0,81.5301971,75
177,1.770002,-0.119201913,0.0080864178,0,0,81.5304489,75
178,1.779995,-0.0856830925,-0.00149038923,-0.0199999996,0,81.5311966,72
179,1.789995,-0.0713178813,0.00329801417,-0.0199999996,0,81.5297394,72
180,1.799994,-0.0761062875,0.00569221564,0,0.0199999996,81.529274,71
181,1.810002,-0.0904714987,0.0176632237,0,0.0199999996,81.5291519,71
182,1.820001,-0.109625109,0.0583646521,0,0,81.5284424,72
183,1.829993,-0.0713178813,0.0727298632,0,0,81.5274734,72
184,1.840002,-0.104836702,0.0272400305,0,0,81.5279694,72
185,1.849995,-0.145538136,0.0368168391,0,0,81.5284576,72
186,1.860001,-0.12159612,0.0368168391,0,0,81.5288162,73
187,1.869994,-0.0976541042,0.0487878472,0,0,81.5285568,73
188,1.879996,-0.12399032,0.0176632237,0,0,81.5273666,74
189,1.890001,-0.100048304,-0.0493744239,0,0,81.5272446,74
190,1.899999,-0.0641352758,0.00569221564,0.0199999996,-0.0199999996,81.5276413,74
191,1.909997,-0.114413515,0.00329801417,0.0199999996,-0.0199999996,81.5270386,74
192,1.920000,-0.0593468733,0.0248458292,0,0,81.5269394,71
193,1.929994,-0.150326535,0.0463936441,0,0,81.5266953,71
194,1.940003,-0.128778726,0.0128748212,0,0,81.5267258,72
195,1.950000,-0.0952598974,0.0535762496,0,0,81.5263824,72
196,1.959993,-0.0665294752,0.0799124762,0,0,81.5261383,73
197,1.970001,-0.133567125,0.0176632237,0,0,81.5263977,73
198,1.979994,-0.0808946863,0.0368168391,0,0,81.525444,77
199,1.990003,-0.135961324,0.0152690224,0,0,81.5252075,77
200,1.999994,-0.104836702,0.0368168391,0,0.0194000006,81.524971,76
201,2.009994,-0.12159612,0.0128748212,0,0.0194000006,81.5236282,76
202,2.019995,-0.104836702,0.0176632237,0,-0.0189999994,81.5237503,75
203,2.030000,-0.0808946863,0.0703356639,0,-0.0189999994,81.5245132,75
204,2.040001,-0.0737120807,0.0439994447,0.0189999994,0,81.5257416,79
205,2.049995,-0.0641352758,0.0799124762,0.0189999994,0,81.5262527,79
206,2.059997,-0.0880772918,0.0439994447,0,-0.0187999979,81.5263977,78
207,2.069998,-0.119201913,0.0607588552,0,-0.0187999979,81.5263824,78
208,2.079997,-0.0737120807,0.0775182694,0.0563999973,-0.0187999979,81.5262756,81
209,2.089994,-0.138355523,0.0128748212,0.0563999973,-0.0187999979,81.5261841,81
210,2.100006,-0.100048304,0.0463936441,-0.0379999988,0.0189999994,81.5265579,75
211,2.110001,-0.092865698,0.00329801417,-0.0379999988,0.0189999994,81.5262146,75
212,2.120001,-0.114413515,0.0368168391,0,0,81.5248795,74
213,2.129995,-0.0832888931,0.0248458292,0,0,81.5247498,74
214,2.139993,-0.0617410764,0.0439994447,0,0,81.5248795,73
215,2.149995,-0.0832888931,0.0176632237,0,0,81.5249176,73
216,2.160000,-0.0976541042,0.0368168391,0.0189999994,-0.0569999963,81.5242004,72
217,2.169996,-0.102442503,0.0296342336,0.0189999994,-0.0569999963,81.5235519,72
218,2.180004,-0.0665294752,0.0128748212,0.0563999973,-0.0187999979,81.5240631,73
219,2.190000,-0.0880772918,0.0128748212,0.0563999973,-0.0187999979,81.5229645,73
220,2.199996,-0.0808946863,0.0559704527,-0.0189999994,-0.0189999994,81.522728,72
221,2.209994,-0.0904714987,0.0392110385,-0.0189999994,-0.0189999994,81.5225983,72
222,2.220002,-0.12159612,0.0799124762,-0.0189999994,0,81.5226135,72
223,2.229999,-0.159903347,0.0368168391,-0.0189999994,0,81.5219116,72
224,2.239993,-0.12399032,0.0320284329,0,0,81.5228958,72
225,2.249998,-0.102442503,0.0559704527,0,0,81.5233841,72
226,2.260002,-0.128778726,0.0607588552,0,-0.0187999979,81.5236359,73
227,2.269995,-0.0713178813,0.0607588552,0,-0.0187999979,81.5238953,73
228,2.279975,-0.107230909,0.00569221564,0,0,81.5238037,71
229,2.289997,-0.0976541042,0.0152690224,0,0,81.5234528,71
230,2.299995,-0.0737120807,0.0272400305,-0.0187999979,0,81.5237198,71
231,2.309998,-0.0832888931,0.0416052416,-0.0187999979,0,81.5238419,71
232,2.319996,-0.0952598974,0.0439994447,0,0,81.5245743,77
233,2.330004,-0.0976541042,0.0511820465,0,0,81.5248489,77
234,2.340001,-0.114413515,0.0416052416,0,0,81.5252228,76
235,2.349996,-0.109625109,0.0439994447,0,0,81.5258484,76
236,2.359996,-0.119201913,0.0368168391,0.0384000018,0,81.5259857,80
237,2.369996,-0.119201913,0.0607588552,0.0384000018,0,81.5260162,80
238,2.379994,-0.128778726,0.0775182694,0,0,81.5271225,79
