Index,Time,ax,ay,(computedVelocity).x,(computedVelocity).y,heading,((((aruwsrc::standard::DriversSingleton::drivers).opticalFlow).processedMessage).payload).optical_flow_quality
0,0.000000,0,0,0,0,0,0
1,0.018016,0,0,0,0,0,0
2,0.028015,0,0,0,0,0,0
3,0.038018,0,0,0,0,0,0
4,0.048018,0,0,0,0,0,0
5,0.058013,0,0,0,0,0,0
6,0.068021,0,0,0,0,0,0
7,0.078020,0,0,0,0,0,0
8,0.088022,0,0,0,0,0,0
9,0.098016,0,0,0,0,0,0
10,0.108023,0,0,0,0,0,0
11,0.118055,0,0,0,0,0,0
12,0.128018,0,0,0,0,0,0
13,0.138015,0,0,0,0,0,0
14,0.148020,0,0,0,0,0,0
15,0.158017,0,0,0,0,0,0
16,0.168015,0,0,0,0,0,0
17,0.178023,0,0,0,0,0,0
18,0.188021,0,0,0,0,0,0
19,0.198018,0,0,0,0,0,0
20,0.208018,0,0,0,0,0,0
21,0.218014,0,0,0,0,0,0
22,0.228015,0,0,0,0,0,0
23,0.238021,0,0,0,0,0,0
24,0.248019,-0.272938997,0.0861912593,0,0,180.009003,0
25,0.258022,-0.407014281,-0.0167594124,0,0,180.020798,86
26,0.268017,-0.351947635,-0.0095768068,0,0,180.033325,86
27,0.278014,-0.292092621,-0.225054964,0,-0.0209999997,180.04866,86
28,0.288018,-0.337582439,-0.112527482,0,-0.0209999997,180.067139,86
29,0.298016,-0.284909993,-0.246602774,-0.0209999997,-0.0209999997,180.088669,85
30,0.308015,-0.497993946,-0.124498487,-0.0209999997,-0.0209999997,180.114822,85
31,0.317995,-0.514753342,0.189141929,0,0,180.140106,85
32,0.328019,-0.361524463,0.0047884034,0,0,180.160889,85
33,0.338017,-0.241814375,-0.0407014303,0.0208000001,0,180.174866,85
34,0.348013,-0.442927301,-0.143652096,0.0208000001,0,180.188843,85
35,0.358018,-0.529118598,-0.232237563,0,0.0416000001,180.208542,82
36,0.368018,-0.490811348,-0.225054964,0,0.0416000001,180.235443,82
37,0.378015,-0.567425787,-0.172382519,0,0,180.264526,83
38,0.388019,-0.447715729,-0.08379706,0,0,180.28717,83
39,0.398013,-0.442927301,0.110133275,0,0,180.314789,79
40,0.408021,-0.399831682,-0.011971008,0,0,180.341064,79
41,0.418018,-0.0909796655,0.0311246216,0,0,180.371597,84
42,0.428019,-0.134075299,0.256179571,0,0,180.404449,84
43,0.438015,-0.126892686,0.263362199,0,0,180.433655,84
44,0.448020,-0.272938997,0.294486821,0,0,180.456787,84
45,0.458023,-0.378283858,0.330399841,0,0,180.47821,86
46,0.468017,-0.287304193,0.359130263,0,-0.0205999985,180.496597,86
47,0.478021,-0.430956304,0.37110126,0,-0.0205999985,180.51059,88
48,0.488175,-0.383072257,0.201112941,0,-0.0205999985,180.520706,88
49,0.498108,-0.304063618,0.289698392,0,0.0823999941,180.53299,87
50,0.508019,-0.488417149,0.234631762,0,0.0823999941,180.544662,87
51,0.518016,-0.248996973,0.270544797,0,0.0205999985,180.557205,89
52,0.528014,-0.117315881,0.0909796655,0,0.0205999985,180.568405,89
53,0.538014,-0.237025961,0.239420176,0,0.0205999985,180.583115,88
